subscriptionName,resourceGroup,resourceType,resourceName,recommendationDisplayName,severity,state,controls
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamskcspr2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsinvpr1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSFTPPR1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsftppr1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsftppr1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
