subscriptionName,resourceGroup,resourceType,resourceName,recommendationDisplayName,severity,state,controls
Management-P,rg-arc-app-win-p-we-001,machines,dasamssopr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamssopr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamssopr2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamssopr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamssopr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamssopr2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsscoreow1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSSCHEDPR2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsschedpr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsschedpr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSSCHEDPR2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsschedpr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsschedpr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSSCHEDPR2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamspspr2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsoctdeppr1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmdtpr2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSMAPR2,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr2,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr2,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSMAPR2,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr2,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr2,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSMAPR2,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSMAPR1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSMAPR1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamsmapr1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,DASAMSMAPR1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,Machines should be configured to periodically check for missing system updates,High,NotApplicable,Apply system updates
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,Vulnerabilities in security configuration on your Windows machines should be remediated (powered by Guest Configuration),Low,NotApplicable,Remediate security configurations
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,Windows servers should be configured to use secure communication protocols,High,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,Windows Defender Exploit Guard should be enabled on machines,Medium,NotApplicable,Implement security best practices
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucapr1,Machines should have vulnerability findings resolved,Low,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,Machines should have a vulnerability assessment solution,Medium,NotApplicable,Remediate vulnerabilities
Management-P,rg-arc-app-win-p-we-001,machines,dasamslucaac1,System updates should be installed on your machines (powered by Azure Update Manager),High,NotApplicable,Apply system updates
